Asset Age,Time Since Last Maintenance,Total Spare Parts Cost,Failure Count,Avg Time Between Maintenance,Month,Asset Number,Predicted Time to Next Failure,Predicted Failure Type,Predicted Cost,Actual Time to Next Failure,Actual Failure Type,Actual Cost
0,0.0,0.0,2,19.21875,2,ASD-COC-TFL004-AHU139,62.86,DIRTY,0.0,32.0,DAMAGED,0.0
42,0.0,2123.76,12,8.5,4,ASD-COA-GFL004-AHU073,49.9,DIRTY,2123.807000000002,20.0,DIRTY,2123.76
299,0.0,3554.08,18,15.958333333333334,11,ASD-COC-GFL004-AHU104,32.09,DAMAGED,3555.3230000000003,16.0,DAMAGED,3554.08
25,0.0,0.0,4,24.892857142857142,2,ASD-COC-TFL001-AHU130,61.66,DAMAGED,0.0,172.0,DAMAGED,0.0
0,0.0,400.52,2,29.27777777777778,4,ASD-COA-BAS004-AHU182,42.4,DIRTY,399.71259999999995,0.0,DAMAGED,400.52
281,0.0,1478.44,12,11.655172413793103,11,ASD-COC-TFL008-AHU153,36.55,DAMAGED,1478.5672000000015,141.0,DAMAGED,1478.44
324,0.0,0.0,12,29.77777777777778,12,ASD-COC-GFL006-AHU108,83.05,DIRTY,0.0,45.0,DIRTY,0.0
461,0.0,19791.16,35,14.452380952380953,4,ASD-MTB-FOF008-AHU060,34.37,WARNING,19789.086200000023,0.0,WARNING,19791.16
0,0.0,0.0,2,20.25,1,ASD-COC-TFL006-AHU147,36.56,NOISY,0.0,20.0,WARNING,0.0
312,0.0,19136.8,48,5.202702702702703,12,ASD-COA-GFL003-AHU184,33.93,DIRTY,19136.73200000003,21.0,DIRTY,19136.8
468,0.0,11179.96,27,20.214285714285715,4,ASD-MTB-FOF009-AHU061,72.63,WARNING,11162.122400000011,0.0,WARNING,11179.96
300,0.0,36602.96,44,9.895833333333334,11,ASD-MTB-FOF024-AHU049,55.59,NOT WORKING,36602.921199999975,144.0,DIRTY,36602.96
366,0.0,1075.44,24,16.55263157894737,2,LSD-PMS-BUI-AHU203,35.84,NOT WORKING,1075.3134000000014,2.0,DIRTY,1075.44
385,0.0,25772.63,69,5.140845070422535,2,ASD-MTB-FOF008-AHU014,35.27,DAMAGED,25768.248100000004,0.0,DAMAGED,25772.63
