Asset Age,Time Since Last Maintenance,Total Spare Parts Cost,Failure Count,Avg Time Between Maintenance,Month,Asset Number,Predicted Time to Next Failure,Predicted Failure Type,Predicted Cost,Actual Time to Next Failure,Actual Failure Type,Actual Cost
570,0.0,72428.94,116,4.8359375,9,ASD-COB-GFL18A-AHU191,2.87,DAMAGED,72325.31499999993,25.0,DAMAGED,72428.94
603,0.0,5578.92,84,8.777777777777779,10,ASD-COB-GFL016-AHU091,9.01,DAMAGED,5575.116500000003,0.0,DAMAGED,5578.92
501,0.0,37453.17,59,8.594594594594595,5,ASD-MTB-FOF009-AHU015,26.15,DIRTY,37475.808300000055,0.0,DIRTY,37453.17
461,0.0,1172.0,16,24.26923076923077,8,ASD-COC-TFL004-AHU160,26.4,DAMAGED,1172.0,24.0,DAMAGED,1172.0
624,0.0,94003.82,141,4.746753246753247,11,ASD-MTB-GFL06A-AHU169,11.61,NOISY,94189.69380000001,0.0,NOISY,94003.82
738,0.0,19258.34,244,1.9230769230769231,1,ASD-MTB-FOF011-AHU043,0.05,NOT WORKING,19258.340000000033,3.0,NOT WORKING,19258.34
197,0.0,4265.1,15,7.149122807017544,7,ASD-COC-GFL002-AHU118,0.37,WARNING,4262.536699999995,0.0,WARNING,4265.1
0,0.0,5463.2,5,17.772727272727273,2,ASD-MTB-FOF021-AHU052,2.76,DIRTY,5469.275699999999,0.0,DIRTY,5463.2
233,0.0,11732.4,30,6.344262295081967,8,ASD-COC-GFL002-AHU117,2.58,WARNING,11731.338700000004,28.0,WARNING,11732.4
49,0.0,0.0,10,7.63953488372093,3,ASD-COA-GFL001-AHU071,13.63,DIRTY,0.0,15.0,DIRTY,0.0
533,0.0,57092.86,80,7.819148936170213,6,ASD-MTB-FOF010-AHU036,4.4,WARNING,57071.61170000003,0.0,WARNING,57092.86
0,0.0,3064.44,3,7.06,1,ASD-MTB-FOF010-AHU032,0.47,DAMAGED,3065.9235999999946,0.0,DAMAGED,3064.44
22,13.0,0.0,5,9.534883720930232,1,LSD-VCN-FFL-AHU198,0.0,DIRTY,0.0,0.0,DIRTY,0.0
240,45.0,5095.4,17,6.339622641509434,9,ASD-COA-GFL004-AHU070,0.0,DIRTY,5096.298100000001,0.0,NOT WORKING,5095.4
645,0.0,43712.72,129,5.140845070422535,10,ASD-MTB-FOF008-AHU014,0.12,DIRTY,43696.137700000036,0.0,DIRTY,43712.72
76,0.0,13647.56,35,4.3478260869565215,3,ASD-MTB-FOF008-AHU018,0.6,DIRTY,13653.247200000002,0.0,DIRTY,13647.56
